Filename	Syllable	Time(s)
CB13	3	0.09653623795883265
CB13	4	0.1410914247090631
CB13	5	0.13366556025069143
CB13	6	0.2023548064906302
CB13	7	0.1930724759176652
CB14	1	0.1001204213403204
CB14	2	0.06529592696107844
CB14	3	0.14365103931437273
CB14	4	0.1610632865039936
CB14	5	0.15235716290918322
CB14	6	0.14365103931437262
CB14	7	0.34606841289371615
CB15	1	0.033288259513836904
CB15	2	0.14480392888519045
CB15	3	0.08155623580890042
CB15	4	0.08155623580890037
CB15	5	0.09320712663874337
CB15	6	0.14147510293380683
CB15	7	0.37282850655497335
CB16	1	0.07054545076655139
CB16	2	0.11433228227682468
CB16	3	0.21650155580079566
CB16	4	0.0924388665216882
CB16	5	0.18001252954223457
CB16	6	0.09487146827225867
CB16	7	0.23109716630422006
CB17	1	0.045067423576868604
CB17	2	0.13110523222361767
CB17	3	0.12086263595614755
CB17	4	0.12700819371662964
CB17	5	0.14134782849108785
CB17	6	0.15568746326554606
CB17	7	0.4691109090501321
CB18	1	0.014851728916743523
CB18	2	0.0761151106983104
CB18	3	0.11510089910476196
CB18	4	0.13180909413609854
CB18	5	0.16522548419877126
CB18	6	0.13737849247987743
CB18	7	0.17079488254255004
CB19	1	0.07982801914677085
CB19	2	0.16791410923975914
CB19	3	0.19268832207841224
CB19	4	0.1624087286089475
CB19	5	0.14313989640110636
CB19	6	0.14313989640110614
CB19	7	0.19819370270922398
CB20	1	0.1262387921247518
CB20	2	0.11970919942864389
CB20	3	0.1610632865039936
CB20	4	0.11535613763123864
CB20	5	0.1001204213403204
CB20	6	0.1392979775169676
CB20	7	0.28294901683134
CB21	1	0.10722807591116912
CB21	2	0.1776465138229817
CB21	3	0.1536402281712274
CB21	4	0.10722807591116912
CB21	5	0.19365070425748465
CB21	6	0.11362975208497028
CB21	7	0.20805447564853696
CB22	1	0.1083157349520209
CB22	2	0.12905704590028033
CB22	3	0.11753409537346948
CB22	4	0.09909737453057232
CB22	5	0.20280392927186897
CB22	6	0.23045901053621498
CB22	7	0.18667179853433402
CB23	1	0.07797157681290334
CB23	2	0.08354097515668207
CB23	3	0.18379014534470073
CB23	4	0.08539744127127502
CB23	5	0.1410914247090631
CB23	6	0.18007721311551483
CB23	7	0.21163713706359477
CB24	1	0.07067441364077878
CB24	2	0.117790689401298
CB24	3	0.1119011549312331
CB24	4	0.1325145255764602
CB24	5	0.1339869091939765
CB24	6	0.10895638769620075
CB24	7	0.18846510304207686
CB25	1	0.043659033891593924
CB25	2	0.11708559089109277
CB25	3	0.1270080985937278
CB25	4	0.09525607394529578
CB25	5	0.1448686124584707
CB25	6	0.16868263094479474
CB25	7	0.2837837202953606
CB26	1	0.047115395873676746
CB26	2	0.08808530532904796
CB26	3	0.1392976921482617
CB26	4	0.124958223838882
CB26	5	0.09218229627458496
CB26	6	0.18641308802193868
CB26	7	0.2683529069326809
CB27	1	0.112924249302432
CB27	2	0.08603752327804348
CB27	3	0.11292424930243206
CB27	4	0.1487732173349502
CB27	5	0.1183015945073097
CB27	 6	0.1344336301219431
CB27	7	0.18999953057234586
CB28	1	0.09922507702634975
CB28	2	0.07144205545897186
CB28	3	0.15280661862057876
CB28	4	0.11113208626951177
CB28	5	0.14089960937741686
CB28	6	0.11510108935056573
CB28	7	0.2579852002685097
CB29	1	0.09634359030179485
CB29	2	0.17924388893357168
CB29	3	0.11650852780682164
CB29	4	0.14115456253518777
CB29	5	0.11650852780682164
CB29	6	0.1590789514285449
CB29	7	0.20837102088527715
CB30	1	0.11061918358256045
CB30	2	0.10140091828401382
CB30	3	0.13827397947820053
CB30	4	0.14749224477674738
CB30	5	0.12444658153038046
CB30	6	0.17284247434775069
CB30	7	0.3387712497215918
CB31	1	0.08661401562490328
CB31	2	0.09295162652428651
CB31	3	0.19224086394795614
CB31	4	0.14153997675289087
CB31	5	0.14153997675289076
CB31	6	0.11618953315535818
CB31	7	0.24716682507594379
CB32	1	0.03728009913804803
CB32	2	0.06800915634690308
CB32	3	0.09521281888566424
CB32	4	0.11110736709429914
CB32	5	0.14828006092435553
CB32	6	0.11729616759687844
CB32	7	0.23193657290854408
CB33	1	0.01604537820220231
CB33	2	0.09787680703343415
CB33	3	0.13799025253893982
CB33	4	0.11552672305585665
CB33	5	0.089854117932333
CB33	6	0.18933546278598734
CB33	7	0.22142621919039196
CB34	1	0.06351835070534034
CB34	2	0.0681660349032921
CB34	3	0.14407821013650368
CB34	4	0.0929536839590347
CB34	5	0.18280891178610137
CB34	6	0.158021262730359
CB34	7	0.28041027994308787
CB35	1	0.04647630758575655
CB35	2	0.1278098458608306
CB35	3	0.1228302414766424
CB35	4	0.09959208768376415
CB35	5	0.17428615344658716
CB35	6	0.16930654906239906
CB35	7	0.18922496659915167
CB36	1	0.07436220723740511
CB36	2	0.13101912703733293
CB36	3	0.14164229949981932
CB36	4	0.07967379346864834
CB36	5	0.13633071326857604
CB36	6	0.13633071326857604
CB36	7	0.20715186301848587
CB37	1	0.08631207387174078
CB37	2	0.10291054961630625
CB37	3	0.1643249098711987
CB37	4	0.1394271962543504
CB37	5	0.15602567199891593
CB37	6	0.21080064195598225
CB37	7	0.2041612516581559
CB38	1	0.04813613460660693
CB38	2	0.08504050447167227
CB38	3	0.09948134485365434
CB38	4	0.1620583198422434
CB38	5	0.10269042049409483
CB38	6	0.10910857177497568
CB38	7	0.18291731150510637
CB39	1	0.08581537542474144
CB39	2	0.12233255645654639
CB39	3	0.11868083835336596
CB39	4	0.11868083835336596
CB39	5	0.17893418705584385
CB39	6	0.1351135698176782
CB39	7	0.18806348231379522
CB40	1	0.11685489708735092
CB40	2	0.10092013839362124
CB40	3	0.12747806954983743
CB40	4	0.1540360007060535
CB40	5	0.13456018452482832
CB40	6	0.1540360007060535
CB40	7	0.20006974804349476
CB41	1	0.09145865575255319
CB41	2	0.07701781537057112
CB41	3	0.15403563074114218
CB41	4	0.1075040339547555
CB41	5	0.13959479035916011
CB41	6	0.1411993281793804
CB41	7	0.2117989922690704
CB42	1	0.029877256340217928
CB42	2	0.1394271962543504
CB42	3	0.10457039719076289
CB42	4	0.09959085446739313
CB42	5	0.046475732084783394
CB42	6	0.1859029283391339
CB42	7	0.16598475744565533
CB43	1	0.08437746568984042
CB43	2	0.09267688854457884
CB43	3	0.1964196742288089
CB43	4	0.13140752853335802
CB43	5	0.12172486853616327
CB43	6	0.1203416313937068
CB43	7	0.1770543542344193
CB44	1	0.07967342350373713
CB44	2	0.12172328590848719
CB44	3	0.1416416417844215
CB44	4	0.11508383394984245
CB44	5	0.11951013525560561
CB44	6	0.20582301071798748
CB44	7	0.17926520288340853
CB45	1	0.03884080731791584
CB45	2	0.07319998302222608
CB45	3	0.14341221163538165
CB45	4	0.08664487786304298
CB45	5	0.18225301895329749
CB45	6	0.15685710647619866
CB45	7	0.2838366688616929
CB46	1	0.041828232869287385
CB46	2	0.1556939779023474
CB46	3	0.2230839086361993
CB46	4	0.09759921002833738
CB46	5	0.13942744289762454
CB46	6	0.15337018718738693
CB46	7	0.17893188505195168
CB47	1	0.09826366700899569
CB47	2	0.1310182226786608
CB47	3	0.16991425753638834
CB47	4	0.12282958376124453
CB47	5	0.1371597018667231
CB47	6	0.10849946565576607
CB47	7	0.2825080426508624
CB48	1	0.035631772784687765
CB48	2	0.11619056342832962
CB48	3	0.11309214840357418
CB48	4	0.1006984883045523
CB48	5	0.17041282636155008
CB48	6	0.1471747136758842
CB48	7	0.17041282636155008
CB49	1	0.12803250307660247
CB49	2	0.11652396347421118
CB49	3	0.14385674502989043
CB49	4	0.08199834466703748
CB49	5	0.14529531248018923
CB49	6	0.1524881497316838
CB49	7	0.17838236383706407
CB50	1	0.06905115539992265
CB50	2	0.13013486979216193
CB50	3	0.09693719892681446
CB50	4	0.07303487590376434
CB50	5	0.20848137303438186
CB50	6	0.09428138525758678
CB50	7	0.17528370216903433
CB51	1	0.09759964165406709
CB51	2	0.11154244760464804
CB51	3	0.1454035477703447
CB51	4	0.1294689123982522
CB51	5	0.15137903603487946
CB51	6	0.18324830677906467
CB51	7	0.274872460168597
CB52	1	0.08365720566839735
CB52	2	0.08675562069315279
CB52	3	0.11464135591595181
CB52	4	0.10999373337881868
CB52	5	0.17196203387392783
CB52	6	0.10534611084168555
CB52	7	0.1936509390472161
CB53	1	0.07746078669100998
CB53	2	0.16847721105294688
CB53	3	0.11425466036923981
CB53	4	0.09876250303103784
CB53	5	0.13168333737471705
CB53	6	0.15492157338202017
CB53	7	0.20527108473117672
CB54	1	0.10457284306989853
CB54	2	0.12548741168387817
CB54	3	0.12100571840945396
CB54	4	0.1299691049583025
CB54	5	0.09262166100476721
CB54	6	0.24051753906076656
CB54	7	0.2524687211258978
CB55	1	0.06578520793117604
CB55	2	0.06257617339794791
CB55	3	0.09145748419700084
CB55	4	0.1091071741297554
CB55	5	0.15082462306172062
CB55	6	0.11873427772943967
CB55	7	0.19575110652691396
CB56	1	0.07259167849365739
CB56	2	0.08498537969989162
CB56	3	0.17174128814353096
CB56	4	0.09914960964987352
CB56	5	0.15934758693729667
CB56	6	0.11154331085610769
CB56	7	0.34702363377455725
CB57	1	0.03137142129523973
CB57	2	0.16283261529433954
CB57	3	0.12548568518095893
CB57	4	0.08963263227211349
CB57	5	0.16582036970341008
CB57	6	0.15984486088526906
CB57	7	0.3884080731791586
