Filename	Syllable	Time(s)
PC38	5	0.1233735917333244
PC38	6	0.12337359173332452
PC38	7	0.2166946418905824
PC39	1	0.10362925951759094
PC39	2	0.12020994104040539
PC39	3	0.10362925951759094
PC39	4	0.1533713040860346
PC39	5	0.15544388927638653
PC39	6	0.16166164484744172
PC39	7	0.3067426081720692
PC40	1	0.10013913391337426
PC40	2	0.1276283079288104
PC40	3	0.10210264634304833
PC40	4	0.1413728949365285
PC40	5	0.12566479549913634
PC40	6	0.12173777063978841
PC40	7	0.2002782678267485
PC41	1	0.06981377527729804
PC41	2	0.09599394100628478
PC41	3	0.19547857077643438
PC41	4	0.11693807358947417
PC41	5	0.1343915174087985
PC41	6	0.10995669606174441
PC41	7	0.21467735897769136
PC42	1	0.08677609883055526
PC42	2	0.10695658693068433
PC42	3	0.1291551238408265
PC42	4	0.1271370750308134
PC42	5	0.0645775619204132
PC42	6	0.16951610004108475
PC42	7	0.24620195482157525
PC43	1	0.08699419929913899
PC43	2	0.08857591201366877
PC43	3	0.1534261333093906
PC43	4	0.13128215530597342
PC43	5	0.12021016630426484
PC43	6	0.11230160273161571
PC43	7	0.26098259789741696
PC44	1	0.09637605609083205
PC44	2	0.12004736811314154
PC44	3	0.11666575210995445
PC44	4	0.08961282408445781
PC44	5	0.14879110414023178
PC44	6	0.1910613041800706
PC44	7	0.2705292802549668
PC45	1	0.09146629511885895
PC45	2	0.07270397817140073
PC45	3	0.09615687435572351
PC45	4	0.15478911481653057
PC45	5	0.15009853557966601
PC45	6	0.1289909290137754
PC45	7	0.30723294001462875
PC46	1	0.07063170835045196
PC46	2	0.1271370750308135
PC46	3	0.19776878338126547
PC46	4	0.08274000121052927
PC46	5	0.12713707503081362
PC46	6	0.0948482940706068
PC46	7	0.23812975958152371
PC47	1	0.08094034571211733
PC47	2	0.128282812072035
PC47	3	0.10079363805659902
PC47	4	0.13439151740879862
PC47	5	0.08552187471469008
PC47	6	0.11301104873012613
PC47	7	0.23823950813377937
PC48	1	0.12173817611473509
PC48	2	0.08961282408445781
PC48	3	0.12681060011951584
PC48	4	0.10652090410039317
PC48	5	0.15555433614660608
PC48	6	0.08961282408445781
PC48	7	0.20796938419600575
PC49	1	0.06861426775285917
PC49	2	0.12981077682973352
PC49	3	0.19100728590660776
PC49	4	0.06861426775285917
PC49	5	0.1094119404707754
PC49	6	0.12053857848475258
PC49	7	0.24664047597649374
PC50	1	0.09130363208605141
PC50	2	0.09975767209401909
PC50	3	0.10821171210198677
PC50	4	0.09975767209401909
PC50	5	0.16231756815298015
PC50	6	0.06255989605896106
PC50	7	0.1842980721736962
PC51	1	0.06806789026210314
PC51	2	0.09997471382246403
PC51	3	0.15527987466042292
PC51	4	0.13188153738282504
PC51	5	0.08933910596901029
PC51	6	0.19782230607423745
PC51	7	0.37437339644156764
PC52	1	0.08934005207721957
PC52	2	0.14039151040705927
PC52	3	0.12975578992167602
PC52	4	0.11912006943629272
PC52	5	0.15315437498951912
PC52	6	0.08721290798014292
PC52	7	0.21271440970766564
PC53	1	0.05017865098055796
PC53	2	0.10908402387077809
PC53	3	0.09163058005145364
PC53	4	0.20725964535447838
PC53	5	0.09163058005145364
PC53	6	0.1548993138965049
PC53	7	0.2508932549027896
PC54	1	0.11781074578044026
PC54	2	0.1418092310320116
PC54	3	0.11781074578044037
PC54	4	0.20071460392223173
PC54	5	0.0676320947998823
PC54	6	0.2181680477415564
PC54	7	0.23780317203829626
PC55	1	0.09392110802568765
PC55	2	0.11628327660323245
PC55	3	0.10733840917221449
PC55	4	0.11181084288772336
PC55	5	0.10733840917221449
PC55	6	0.10957462602996904
PC55	7	0.205731950913411
PC56	1	0.10062978112533705
PC56	2	0.08099470188136881
PC56	3	0.1423543245187694
PC56	4	0.13253678489678533
