Filename,Syllable,Time
ED13,1,0.09933222122207302
ED13,2,0.15106775310856946
ED13,3,0.12002643397667156
ED13,4,0.13037354035397097
ED13,5,0.17176196586316794
ED13,6,0.21315039137236502
ED13,7,0.1903867573423068
ED14,1,0.18873122032193884
ED14,2,0.08443238803876207
ED14,3,0.16141485948586876
ED14,4,0.156448248424765
ED14,5,0.1663814705469724
ED14,6,0.16886477607752415
ED14,7,0.302963274727323
ED15,1,0.1238566108475716
ED15,2,0.2238110687245593
ED15,3,0.08691691989303263
ED15,4,0.07170645891175209
ED15,5,0.1238566108475716
ED15,6,0.13472122583420065
ED15,7,0.3998178315079506
ED16,1,0.11459731492502584
ED16,2,0.08968485515871599
ED16,3,0.2391596137565758
ED16,4,0.13203603676144293
ED16,5,0.16442223445764592
ED16,6,0.16193098848101495
ED16,7,0.20926466203700378
ED17,1,0.0889339771457002
ED17,2,0.15361323325166393
ED17,3,0.15361323325166398
ED17,4,0.12935851221192757
ED17,5,0.11925237844537073
ED17,6,0.18595286130464583
ED17,7,0.4143514844288304
ED18,1,0.1713331817748927
ED18,2,0.09730032545240819
ED18,3,0.1099916722505484
ED18,4,0.12902869244775872
ED18,5,0.16921795730853606
ED18,6,0.15441138604403903
ED18,7,0.35324248588156903
ED19,1,0.11845257011597521
ED19,2,0.17979407964031946
ED19,3,0.13748959031318558
ED19,4,0.12268301904868861
ED19,5,0.13960481477954212
ED19,6,0.17767885517396287
ED19,7,0.16498750837582266
ED20,1,0.10341097391077202
ED20,2,0.11657237059032477
ED20,3,0.18237935398808885
ED20,4,0.12785356774422718
ED20,5,0.12221296916727609
ED20,6,0.11469217106467444
ED20,7,0.32527451793751927
ED21,1,0.12935655009397748
ED21,2,0.157653295427035
ED21,3,0.12127176571310394
ED21,4,0.09903860866570147
ED21,5,0.17584406028400068
ED21,6,0.17786525637921913
ED21,7,0.16573807980790867
ED22,1,0.2941599566215165
ED22,2,0.09871139483943508
ED22,3,0.12832481329126566
ED22,4,0.11647944591053339
ED22,5,0.16386091543346226
ED22,6,0.22901043602748938
ED22,7,0.14214440856878663
ED23,1,0.10529117343642241
ED23,2,0.12973376726987762
ED23,3,0.1447753634750808
ED23,4,0.06580698339776397
ED23,5,0.11845257011597521
ED23,6,0.1767387554111377
ED23,7,0.20682194782154406
ED24,1,0.0625166342278758
ED24,2,0.1069363480213665
ED24,3,0.10364599885147832
ED24,4,0.1579367601546336
ED24,5,0.10364599885147835
ED24,6,0.1595819347395777
ED24,7,0.2072919977029566
ED25,1,0.13753753957059023
ED25,2,0.11431691600672433
ED25,3,0.13039273232016996
ED25,4,0.13039273232017
ED25,5,0.19112359394874234
ED25,6,0.16254436494706126
ED25,7,0.2500682537647094
ED26,1,0.08000339729597641
ED26,2,0.07784114331500408
ED26,3,0.08000339729597644
ED26,4,0.1859538423636209
ED26,5,0.11027495302958912
ED26,6,0.2897420334502929
ED26,7,0.3243380971458505
ED27,1,0.15563446000497527
ED27,2,0.10712501792550255
ED27,3,0.08489152363907743
ED27,4,0.15765568675828667
ED27,5,0.11723115169205944
ED27,6,0.16776182052484345
ED27,7,0.20212267533113681
ED28,1,0.18407207927522903
ED28,2,0.11168418293103788
ED28,3,0.14684401829821636
ED28,4,0.10341128049170167
ED28,5,0.15098046951788457
ED28,6,0.12822998780971007
ED28,7,0.30402916464560303
ED29,1,0.08479807777170559
ED29,2,0.18886844594607147
ED29,3,0.14646940706021877
ED29,4,0.161887239382347
ED29,5,0.13297880377835647
ED29,6,0.18694121690580545
ED29,7,0.17537784266420942
ED30,1,0.11370470454821086
ED30,2,0.0925055223443072
ED30,3,0.18115664792426817
ED30,4,0.13490388675211462
ED30,5,0.1695934576312299
ED30,6,0.1850110446886143
ED30,7,0.29678855085465217
ED31,1,0.08470331360633598
ED31,2,0.10867594953265747
ED31,3,0.1933792631389935
ED31,4,0.16461210002740773
ED31,5,0.11826500390318606
ED31,6,0.1406394641010862
ED31,7,0.17579933012635784
ED32,1,0.06768801069192458
ED32,2,0.15192197955298625
ED32,3,0.12334259726084035
ED32,4,0.15493033558373848
ED32,5,0.12334259726084029
ED32,6,0.10529246107632717
ED32,7,0.21058492215265412
ED33,1,0.04639366576744269
ED33,2,0.139180997302328
ED33,3,0.11929799768770971
ED33,4,0.17673777435216254
ED33,5,0.10604266461129763
ED33,6,0.17673777435216254
ED33,7,0.23859599537541953
ED34,1,0.08376309121113892
ED34,2,0.08883964219363216
ED34,3,0.1675261824222779
ED34,4,0.12691377456233166
ED34,5,0.18783238635225097
ED34,6,0.159911355948538
ED34,7,0.19290893733474412
ED35,1,0.14219008912731151
ED35,2,0.17579865564831235
ED35,3,0.10599624825854131
ED35,4,0.155116460866158
ED35,5,0.16028700956169661
ED35,6,0.14994591217061937
ED35,7,0.1809692043438511
ED36,1,0.11732484282417496
ED36,2,0.13382364884632464
ED36,3,0.18698646825102888
ED36,4,0.10815883947853633
ED36,5,0.11549164215504726
ED36,6,0.17232086289800697
ED36,7,0.22915008364096678
ED37,1,0.1522961615776824
ED37,2,0.07896838007731682
ED37,3,0.1598169596802841
ED37,4,0.12973376726987762
ED37,5,0.20682194782154395
ED37,6,0.2350249407063001
ED37,7,0.150415962052032
ED38,1,0.08479672881561484
ED38,2,0.11177750616603788
ED38,3,0.12141349807690316
ED38,4,0.2062102268925181
ED38,5,0.11177750616603777
ED38,6,0.14261268028080687
ED38,7,0.1792294495420952
ED39,1,0.1590671853586152
ED39,2,0.13537632796477886
ED39,3,0.1353763279647789
ED39,4,0.12691530746698015
ED39,5,0.18445024685201128
ED39,6,0.18275804275245144
ED39,7,0.1658360017568542
ED40,1,0.11506865244634325
ED40,2,0.11826500390318609
ED40,3,0.0910960165200217
