Filename,Syllable,Time
NB18,1,0.12395894756190476
NB18,2,0.0850004211853061
NB18,3,0.07614621064517008
NB18,4,0.20010515820707475
NB18,5,0.11687557912979596
NB18,6,0.13281315810204075
NB18,7,0.24260536879972783
NB19,1,0.10656888011903073
NB19,2,0.19688149038939584
NB19,3,0.11921264555688194
NB19,4,0.12824390658391838
NB19,5,0.14450017643258406
NB19,6,0.16436895069206436
NB19,7,0.16075644628124985
NB20,1,0.12119505916449358
NB20,2,0.0801119882612753
NB20,3,0.16227813006771175
NB20,4,0.12119505916449347
NB20,5,0.12735751979997623
NB20,6,0.12324921270965439
NB20,7,0.27525657505156165
NB21,1,0.11304963307572574
NB21,2,0.19581811443473912
NB21,3,0.07469350756789017
NB21,4,0.07671225101567103
NB21,5,0.1514057585835612
NB21,6,0.1816869103002734
NB21,7,0.1776494234047119
NB22,1,0.11319151872998981
NB22,2,0.10320403178322599
NB22,3,0.13316649262351743
NB22,4,0.09654570715205013
NB22,5,0.14648314188586914
NB22,6,0.23969968672233144
NB22,7,0.14981230420145708
NB23,1,0.08641657981576595
NB23,2,0.13610611320983146
NB23,3,0.10153948128352497
NB23,4,0.07129367834800693
NB23,5,0.11234155376049582
NB23,6,0.159870672659167
NB23,7,0.23764559449335665
NB24,1,0.0625810468812053
NB24,2,0.10497465928460242
NB24,3,0.11103088962794494
NB24,4,0.1211246068668489
NB24,5,0.14938701513578045
NB24,6,0.10093717238904076
NB24,7,0.19985560133030078
NB25,1,0.09611992755688586
NB25,2,0.12119469126737792
NB25,3,0.13791120040770588
NB25,4,0.12537381855245988
NB25,5,0.16507552776073886
NB25,6,0.16507552776073875
NB25,7,0.18597116418614879
NB26,1,0.07734981671707047
NB26,2,0.11418306277281831
NB26,3,0.09944976435051922
NB26,4,0.15285797113135347
NB26,5,0.09760810204773185
NB26,6,0.21179116482055005
NB26,7,0.2596743846930223
NB27,1,0.11560014114606731
NB27,2,0.07405634042169934
NB27,3,0.12643765437851107
NB27,4,0.13727516761095493
NB27,5,0.10115012350280883
NB27,6,0.10115012350280883
NB27,7,0.21494401244346895
NB28,1,0.18062522054073016
NB28,2,0.08308760144873584
NB28,3,0.149918933048806
NB28,4,0.07044383601088477
NB28,5,0.17340021171910092
NB28,6,0.10656888011903065
NB28,7,0.22758777788132
NB29,1,0.09349951903457326
NB29,2,0.13599930041392466
NB29,3,0.08669955401387708
NB29,4,0.09009953652422509
NB29,5,0.10199947531044362
NB29,6,0.1801990730484503
NB29,7,0.175099099282928
NB30,1,0.10203497738210256
NB30,2,0.10812661782282507
NB30,3,0.11117243804318633
NB30,4,0.17208884245041178
NB30,5,0.09442042683119933
NB30,6,0.19036376377257946
NB30,7,0.15229101101806353
NB31,1,0.09611928373693354
NB31,2,0.11241068776014262
NB31,3,0.141735215001919
NB31,4,0.14499349580656073
NB31,5,0.11078154735782175
NB31,6,0.15151005741584433
NB31,7,0.17594716345065808
NB32,1,0.056630311035771846
NB32,2,0.10600032578490629
NB32,3,0.09293179246895894
NB32,4,0.09874002949826882
NB32,5,0.132137392416801
NB32,6,0.12342503687283612
NB32,7,0.168438873849988
NB33,1,0.08471530092068721
NB33,2,0.11892724936942622
NB33,3,0.13847693419727714
NB33,4,0.08960272212764997
NB33,5,0.08471530092068713
NB33,6,0.19060942707154627
NB34,1,0.08446825800753674
NB34,2,0.06382046160569443
NB34,3,0.12576385081122138
NB34,4,0.0957306924085416
NB34,5,0.1726906608154084
NB34,6,0.10323898200921156
NB34,7,0.2534047740226103
NB35,1,0.10129176389232925
NB35,2,0.20258352778465843
NB35,3,0.11280219160736665
NB35,4,0.08287507954826934
NB35,5,0.17956267235458367
NB35,6,0.1358230470374414
NB35,7,0.2140939554996959
NB36,1,0.060739047339395225
NB36,2,0.10585948250580318
NB36,3,0.14924451631965685
NB36,4,0.104124081153249
NB36,5,0.13015510144156128
NB36,6,0.17006933255030665
NB36,7,0.15792152308242768
NB37,1,0.10093800015755097
NB37,2,0.11156305280571427
NB37,3,0.14697989496625846
NB37,4,0.10093800015755106
NB37,5,0.1469798949662584
NB37,6,0.25145957933986396
NB37,7,0.1540632633983674
NB38,1,0.07649960648283266
NB38,2,0.08669955401387702
NB38,3,0.10369946656561763
NB38,4,0.1495992304553172
NB38,5,0.115599405351836
